RPM,Period per Spark (ms),Max Dwell @40% (ms),Target Dwell (ms),Absolute Max Dwell (ms),Recommended Dwell (ms),3ms Exceeds 40%?
500,60.0,24.0,3.0,9.0,3.0,False
750,40.0,16.0,3.0,9.0,3.0,False
1000,30.0,12.0,3.0,9.0,3.0,False
1250,24.0,9.6,3.0,9.0,3.0,False
1500,20.0,8.0,3.0,9.0,3.0,False
1750,17.143,6.857,3.0,9.0,3.0,False
2000,15.0,6.0,3.0,9.0,3.0,False
2250,13.333,5.333,3.0,9.0,3.0,False
2500,12.0,4.8,3.0,9.0,3.0,False
2750,10.909,4.364,3.0,9.0,3.0,False
3000,10.0,4.0,3.0,9.0,3.0,False
3250,9.231,3.692,3.0,9.0,3.0,False
3500,8.571,3.429,3.0,9.0,3.0,False
3750,8.0,3.2,3.0,9.0,3.0,False
4000,7.5,3.0,3.0,9.0,3.0,False
4250,7.059,2.824,3.0,9.0,2.824,True
4500,6.667,2.667,3.0,9.0,2.667,True
4750,6.316,2.526,3.0,9.0,2.526,True
5000,6.0,2.4,3.0,9.0,2.4,True
5250,5.714,2.286,3.0,9.0,2.286,True
5500,5.455,2.182,3.0,9.0,2.182,True
5750,5.217,2.087,3.0,9.0,2.087,True
6000,5.0,2.0,3.0,9.0,2.0,True
6250,4.8,1.92,3.0,9.0,1.92,True
6500,4.615,1.846,3.0,9.0,1.846,True
6750,4.444,1.778,3.0,9.0,1.778,True
7000,4.286,1.714,3.0,9.0,1.714,True
